"respondentid";"fardmedel.kat";"ar.manad"
2001000042;"Cykel";"2020/1"
2001000132;"Bil";"2020/1"
2001000479;"Bil";"2020/1"
2001000714;"Kollektiv";"2020/1"
2001000851;"Bil";"2020/1"
2001001280;"Cykel";"2020/1"
2001001389;"Bil";"2020/1"
2001001398;"Bil";"2020/1"
2001001756;"Kollektiv";"2020/1"
2001002267;"Gang";"2020/1"
2001002327;"Cykel";"2020/1"
2001002758;"Kollektiv";"2020/1"
2001002782;"Cykel";"2020/1"
2001002814;"Kollektiv";"2020/1"
2001002832;"Gang";"2020/1"
2001002887;"Kollektiv";"2020/1"
2001003217;"Bil";"2020/1"
2001003782;"Bil";"2020/1"
2001004049;"Cykel";"2020/1"
2001004062;"Bil";"2020/1"
2001004122;"Cykel";"2020/1"
2001004265;"Gang";"2020/1"
2001004276;"Cykel";"2020/1"
2001004282;"Gang";"2020/1"
2001004334;"Cykel";"2020/1"
2001004675;"Bil";"2020/1"
2001004980;"Bil";"2020/1"
2001005012;"Kollektiv";"2020/1"
2001005021;"Bil";"2020/1"
2001005061;"Bil";"2020/1"
2001005130;"Bil";"2020/1"
2001005180;"Bil";"2020/1"
2001005201;"Kollektiv";"2020/1"
2001005276;"Kollektiv";"2020/1"
2001005480;"Bil";"2020/1"
2001005532;"Bil";"2020/1"
2001005585;"Bil";"2020/1"
2001005615;"Cykel";"2020/1"
2001005741;"Bil";"2020/1"
2001005771;"Kollektiv";"2020/1"
2001005918;"Cykel";"2020/1"
2001005919;"Bil";"2020/1"
2001005920;"Bil";"2020/1"
2001005932;"Bil";"2020/1"
2001006124;"Bil";"2020/1"
2001006140;"Bil";"2020/1"
2001006188;"Bil";"2020/1"
2001006240;"Bil";"2020/1"
2001006292;"Kollektiv";"2020/1"
2001006548;"Cykel";"2020/1"
2001006612;"Bil";"2020/1"
2001006934;"Bil";"2020/1"
2001007053;"Bil";"2020/1"
2001007201;"Bil";"2020/1"
2001007251;"Bil";"2020/1"
2001007330;"Bil";"2020/1"
2001007842;"Bil";"2020/1"
2001007928;"Kollektiv";"2020/1"
2001008047;"Bil";"2020/1"
2001008087;"Bil";"2020/1"
2001008184;"Bil";"2020/1"
2001008244;"Kollektiv";"2020/1"
2001008310;"Bil";"2020/1"
2001008337;"Bil";"2020/1"
2001008383;"Kollektiv";"2020/1"
2001008465;"Bil";"2020/1"
2001008500;"Bil";"2020/1"
2001008509;"Kollektiv";"2020/1"
2001008719;"Kollektiv";"2020/1"
2001008849;"Bil";"2020/1"
2001009414;"Kollektiv";"2020/1"
2001009628;"Kollektiv";"2020/1"
2001009764;"Bil";"2020/1"
2001010110;"Kollektiv";"2020/1"
2001010111;"Bil";"2020/1"
2001010526;"Bil";"2020/1"
2001011037;"Kollektiv";"2020/1"
2001011188;"Kollektiv";"2020/1"
2001011361;"Kollektiv";"2020/1"
2001011363;"Bil";"2020/1"
2001011500;"Cykel";"2020/1"
2001011505;"Kollektiv";"2020/1"
2001011631;"Kollektiv";"2020/1"
2001011634;"Cykel";"2020/1"
